,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
HRL,Consumer Staples,Hormel Foods Corporation,0.039313,48.91,S&P500,27.95,1.75,47.20%,544.70M,-0.87%,26.12B,23.80,2.06,-0.04%,287.05M,1.16%,959.80M,3.25,0.41,41.60%,3.78%,-5.16%,12.46B,2.10,-0.10%,0.32%,6.50,2.32%,13.47,3.63,7.50%,46.25,7.45%,1.66,29.51,8.60%,13.60%,40.48 - 55.11,0.20%,1.04,64.77,0.20%,8.80%,-11.25%,0.12,2.13%,1.20,3.60%,16.80%,20.83%,0.75,20000,2.30,18.80%,9.80%,58.46,1.30% 1.49%,Yes,0.45,14.30%,7.70%,0.70,48.93,Yes,0.45,Jun 02 BMO,56.30%,1.67M,48.91,3.00,1.43%,3.34%,2.00%,"1,164,511",-0.04%,0
OMC,Communication Services,Omnicom Group Inc,0.041877,69.08,S&P500,11.59,5.96,0.60%,205.30M,-1.09%,13.99B,10.25,6.74,-0.69%,202.02M,8.21%,1.26B,1.09,1.69,96.90%,5.04%,-11.30%,14.27B,0.98,45.80%,-0.46%,6.30,-11.07%,13.80,5.01,4.90%,77.39,-6.12%,16.42,4.21,10.60%,41.80%,61.31 - 91.61,-5.72%,2.80,62.92,6.00%,18.40%,-24.59%,0.86,4.05%,0.90,-1.50%,27.70%,12.67%,1.58,71700,0.90,-0.10%,14.40%,54.23,1.57% 2.00%,Yes,1.96,5.00%,9.10%,0.52,70.30,Yes,1.96,Jul 19 AMC,45.50%,1.62M,69.08,2.50,2.20%,2.35%,-6.82%,"842,172",-1.74%,0
TXT,Industrials,Textron Inc.,0.040382,64.4,S&P500,17.74,3.63,0.50%,214.59M,-1.89%,13.76B,13.82,4.66,-24.61%,213.97M,4.49%,803.00M,1.26,0.96,97.90%,2.35%,-7.63%,12.47B,1.10,144.40%,-0.14%,4.28,-5.45%,31.69,2.03,5.10%,84.08,-10.13%,8.62,7.47,14.05%,12.10%,57.11 - 79.45,-16.58%,0.08,12.98,1.30%,6.90%,-18.94%,1.57,0.12%,1.10,-2.10%,15.10%,12.76%,1.73,33000,2.10,-1.20%,7.10%,54.51,2.17% 2.49%,Yes,0.52,24.90%,6.40%,0.60,64.41,Yes,0.52,Jul 28 BMO,2.20%,1.17M,64.40,-,2.12%,2.70%,-7.58%,"703,543",-0.02%,0
CHRW,Industrials,C.H. Robinson Worldwide Inc.,0.040248,109.74,S&P500,13.19,8.32,0.60%,130.50M,-0.87%,12.76B,16.68,6.58,-12.01%,126.32M,9.46%,1.10B,2.41,2.18,96.20%,7.82%,3.17%,26.38B,0.48,69.60%,-0.21%,7.87,22.53%,16.06,6.83,12.50%,111.14,22.29%,2.09,52.55,5.48%,42.30%,85.80 - 115.99,1.96%,2.20,-,11.90%,22.30%,-5.39%,0.75,2.00%,1.50,11.90%,13.80%,27.90%,2.89,17258,1.50,41.90%,4.10%,63.29,2.47% 2.70%,Yes,1.06,60.20%,3.20%,0.54,107.52,Yes,0.76,Jul 27 AMC,32.60%,1.26M,109.74,2.50,7.32%,6.44%,7.87%,"684,452",2.06%,0
JBHT,Industrials,J.B. Hunt Transport Services Inc.,0.043269,183.6,S&P500,20.69,8.87,1.30%,104.89M,0.18%,18.01B,18.51,9.92,-0.32%,84.36M,10.47%,940.70M,1.03,2.45,79.60%,3.00%,4.51%,13.97B,1.29,50.60%,0.13%,3.39,-5.02%,31.02,5.92,11.40%,199.48,10.03%,1.47,124.62,20.09%,25.20%,153.92 - 218.18,-10.18%,1.60,118.55,13.40%,18.30%,-15.85%,1.11,0.87%,-,13.20%,17.10%,19.28%,4.45,33045,1.30,33.20%,7.50%,66.60,2.03% 2.50%,Yes,0.40,67.10%,5.40%,0.44,181.19,Yes,0.29,Jul 19 AMC,16.30%,746.61K,183.60,2.20,6.49%,9.36%,-1.20%,"331,670",1.33%,0
LKQ,Consumer Discretionary,LKQ Corporation,0.04197,55.48,S&P500,13.12,4.20,0.50%,285.70M,0.44%,15.25B,12.89,4.27,-78.56%,265.19M,7.35%,1.21B,0.39,0.98,97.10%,1.70%,8.43%,13.17B,1.16,74.90%,-2.39%,2.68,-1.08%,20.25,2.72,8.70%,63.67,9.00%,1.18,46.62,33.50%,18.70%,42.36 - 60.43,-8.25%,1.00,14.20,20.00%,13.10%,-8.85%,1.40,1.82%,0.80,8.80%,40.50%,30.03%,1.25,46000,1.90,5.60%,11.00%,65.54,1.83% 2.29%,Yes,0.47,7.10%,8.30%,0.60,54.43,Yes,0.46,Jul 28 BMO,6.80%,1.68M,55.08,1.50,4.74%,8.08%,5.34%,"1,007,279",1.19%,0
PKG,Materials,Packaging Corporation of America,0.037154,135.22,S&P500,12.48,10.84,1.40%,92.90M,-3.83%,12.56B,11.72,11.54,-1.83%,92.22M,-4.50%,1.02B,1.76,2.89,96.60%,2.04%,-17.07%,8.42B,1.49,82.30%,1.04%,2.76,-8.75%,40.68,3.32,10.30%,152.20,-2.40%,7.65,17.69,7.09%,23.10%,124.78 - 168.50,-0.68%,5.00,17.62,13.20%,15.00%,-19.75%,0.80,3.70%,2.00,6.00%,25.50%,8.37%,3.20,15200,3.00,18.20%,14.00%,40.36,1.93% 2.14%,Yes,0.66,56.00%,9.90%,1.47,137.74,Yes,0.66,Jul 25 AMC,45.10%,681.51K,135.22,2.50,-2.50%,-6.15%,-6.45%,"998,947",-1.83%,0
NVR,Consumer Discretionary,NVR Inc.,0.038669,4359.73,S&P500,10.49,415.70,5.87%,3.38M,-0.76%,14.26B,10.97,397.39,-1.51%,3.09M,-0.16%,1.53B,2.18,120.01,87.20%,1.92%,-1.94%,9.69B,1.47,39.30%,0.32%,2.99,-19.73%,805.20,5.41,21.30%,5086.25,-17.95%,659.91,6.61,4.80%,42.00%,3576.01 - 5982.44,-26.22%,-,11.64,25.30%,28.50%,-27.12%,0.99,-,-,9.00%,27.30%,21.92%,140.68,6600,-,16.50%,17.00%,51.80,3.20% 3.14%,No,0.56,84.40%,12.80%,0.47,4381.87,Yes,0.56,Jul 26 BMO,0.00%,19.82K,4359.73,2.70,-0.80%,2.65%,-9.60%,"9,355",-0.51%,0
NLOK,Information Technology,NortonLifeLock Inc.,0.043896,24.2,S&P500,17.11,1.42,0.30%,581.00M,-1.30%,14.16B,12.36,1.96,142.38%,578.66M,5.44%,836.00M,2.11,0.43,96.90%,4.03%,0.41%,2.80B,5.07,21.90%,-6.46%,3.41,-4.61%,-0.16,-,12.30%,26.56,0.92%,3.23,7.49,8.10%,-363.50%,21.55 - 30.92,-6.81%,0.50,21.30,41.70%,21.90%,-21.69%,0.65,2.07%,0.70,-7.00%,85.40%,12.34%,0.78,2700,0.70,6.50%,35.80%,48.90,4.17% 2.75%,Yes,-,-42.60%,29.90%,1.42,26.60,Yes,-,Aug 04 AMC,34.80%,6.83M,24.21,2.20,-0.83%,2.20%,-5.46%,"9,702,782",-8.98%,0
VTRS,Health Care,Viatris Inc.,0.033021,9.69,S&P500,71.02,0.14,0.20%,1.21B,0.41%,12.26B,2.85,3.41,-15.32%,1.21B,-6.62%,167.70M,-,0.83,75.40%,2.27%,-3.18%,17.65B,0.69,5.80%,0.85%,2.37,-35.69%,16.89,0.58,0.30%,14.53,-30.15%,0.66,14.65,-1.30%,0.80%,9.44 - 15.60,-28.09%,0.48,5.06,-25.70%,-1.50%,-37.63%,1.23,4.93%,0.80,10.10%,39.20%,3.02%,0.30,37000,1.20,-5.40%,5.30%,42.00,2.11% 3.03%,Yes,1.08,138.30%,1.00%,1.38,9.62,Yes,0.92,Aug 08 BMO,325.40%,11.59M,9.73,2.60,-1.49%,-8.60%,-19.87%,"15,992,962",1.14%,0
BXP,Real Estate,Boston Properties Inc.,0.034948,86.5,S&P500,20.61,4.20,0.18%,156.65M,-5.01%,14.96B,25.20,3.44,-6.19%,143.78M,-4.42%,658.90M,2.94,0.79,92.80%,3.50%,-27.64%,2.99B,5.00,-42.80%,0.17%,4.42,-23.82%,37.30,2.32,2.20%,109.28,-25.91%,2.53,34.29,7.00%,8.60%,84.86 - 133.11,-24.82%,3.92,40.73,-0.60%,4.90%,-34.95%,1.13,4.53%,-,2.50%,63.40%,2.04%,2.04,743,-,5.70%,30.90%,38.43,1.99% 1.99%,Yes,2.27,55.50%,16.60%,0.66,86.66,Yes,2.27,Jul 26 AMC,123.40%,1.14M,86.59,2.50,-2.11%,-7.68%,-23.05%,"748,574",-0.08%,0
CE,Materials,Celanese Corporation,0.034364,110.85,S&P500,5.87,18.88,0.30%,108.19M,-5.67%,12.07B,6.80,16.30,0.55%,108.03M,-3.62%,2.09B,-,3.99,97.10%,1.63%,-26.86%,9.28B,1.30,1.20%,-0.92%,1.53,-30.66%,42.58,2.60,16.00%,153.05,-27.57%,5.64,19.66,-1.86%,45.80%,104.74 - 176.50,-34.04%,2.72,12.24,22.50%,19.80%,-37.20%,1.25,2.45%,1.00,9.60%,31.70%,5.83%,3.74,8529,1.60,41.20%,21.00%,38.38,2.35% 2.85%,Yes,0.87,62.70%,20.40%,0.68,110.98,Yes,0.68,Jul 28 AMC,16.00%,1.14M,110.85,2.20,-1.94%,-13.03%,-25.08%,"782,762",-0.12%,0
KIM,Real Estate,Kimco Realty Corporation,0.037503,21.41,S&P500,17.83,1.20,2.10%,615.42M,-3.17%,12.87B,30.76,0.70,-0.14%,604.51M,6.78%,679.50M,-,0.16,96.90%,2.48%,-11.53%,1.65B,7.81,-28.90%,0.11%,3.16,-10.94%,16.27,1.32,4.90%,23.99,0.00%,0.62,34.75,-,9.20%,18.52 - 26.57,-13.14%,0.88,130.62,15.20%,2.20%,-19.41%,1.39,4.11%,-,3.10%,69.80%,15.57%,0.46,606,-,51.30%,23.90%,54.44,1.66% 1.98%,Yes,0.75,23.70%,49.50%,0.35,21.34,Yes,0.75,Jul 28 BMO,44.40%,4.74M,21.41,2.10,2.21%,2.14%,-7.63%,"1,649,818",0.33%,0
MAS,Industrials,Masco Corporation,0.036174,52.72,S&P500,23.53,2.24,0.40%,244.09M,-4.80%,12.11B,11.98,4.40,-8.31%,234.47M,0.51%,546.00M,0.57,1.09,95.70%,2.72%,-2.44%,8.61B,1.41,-46.90%,0.00%,2.92,-15.82%,-3.21,-,15.50%,63.69,-12.85%,1.92,27.52,40.92%,-242.30%,46.27 - 71.06,-24.92%,1.12,25.55,1.90%,35.70%,-25.80%,1.24,2.12%,0.80,2.60%,33.30%,13.94%,1.47,20000,1.40,7.90%,15.90%,45.21,2.73% 2.61%,Yes,-,929.20%,10.00%,0.54,52.89,Yes,-,Jul 28 BMO,28.70%,2.19M,52.72,2.50,-2.48%,-1.37%,-9.95%,"1,174,543",-0.32%,0
NI,Utilities,NiSource Inc,0.034614,28.95,S&P500,19.38,1.52,0.30%,406.00M,-3.06%,11.53B,19.03,1.55,0.00%,404.27M,3.40%,661.10M,2.71,0.12,95.10%,3.52%,0.55%,5.23B,2.21,771.10%,-0.33%,3.25,-0.91%,13.93,2.12,2.80%,31.92,15.84%,0.29,100.70,7.15%,12.80%,23.65 - 32.58,6.74%,0.94,25.58,4.40%,5.80%,-9.56%,0.37,3.19%,0.60,1.80%,69.00%,24.61%,0.64,7272,0.70,21.20%,22.50%,51.48,2.48% 1.95%,Yes,1.73,30.80%,12.60%,0.69,29.85,Yes,1.62,Aug 03 BMO,54.40%,4.38M,29.47,1.90,1.24%,0.19%,3.24%,"3,038,859",-1.27%,0
CBOE,Financials,Cboe Global Markets Inc,0.036057,120.48,S&P500,25.80,4.67,0.40%,106.60M,-2.35%,12.98B,18.16,6.63,0.15%,105.69M,1.08%,499.70M,5.04,1.52,88.10%,1.57%,8.26%,3.46B,3.75,15.10%,0.24%,2.68,3.26%,33.46,3.60,6.70%,136.20,-0.43%,6.57,18.33,5.12%,14.20%,103.82 - 139.00,-7.61%,1.92,12.90,16.70%,11.70%,-13.32%,0.62,1.59%,1.30,39.70%,44.20%,16.05%,2.91,1196,1.30,-3.60%,24.20%,53.15,2.90% 2.28%,Yes,0.00,-19.70%,14.40%,0.72,119.09,Yes,0.45,Jul 29 BMO,39.80%,619.26K,120.48,2.40,-0.41%,4.04%,0.60%,"444,641",1.17%,0
LVS,Consumer Discretionary,Las Vegas Sands Corp.,0.038506,38.25,S&P500,-,-1.80,0.10%,764.00M,1.80%,30.32B,27.97,1.37,0.00%,330.78M,8.60%,-1372.00M,-,-0.22,38.70%,6.71%,7.93%,3.85B,7.87,20.00%,-0.26%,3.08,-12.62%,5.49,6.99,8.30%,46.85,-5.89%,8.17,4.70,-1.75%,54.60%,28.88 - 48.27,1.94%,-,-,-22.10%,-4.90%,-20.51%,1.29,-,3.30,-17.80%,37.60%,32.88%,1.37,44500,3.30,-10.90%,-27.00%,58.28,2.98% 3.47%,Yes,3.67,-24.80%,45.40%,0.57,39.30,Yes,3.65,Jul 20 AMC,0.00%,7.19M,38.37,2.30,4.54%,9.89%,1.15%,"4,094,842",-2.37%,1
CTXS,Information Technology,Citrix Systems Inc.,0.035894,102.5,S&P500,39.47,2.60,0.70%,126.73M,1.07%,13.03B,17.50,5.86,0.00%,125.87M,3.03%,330.40M,17.94,1.27,92.90%,4.11%,1.08%,3.31B,3.93,-39.10%,-1.11%,4.45,0.24%,6.50,15.77,4.80%,100.20,1.23%,6.86,14.93,2.20%,54.30%,78.07 - 115.00,8.36%,1.48,21.83,-4.00%,9.70%,-10.87%,0.08,1.44%,0.80,3.30%,81.30%,31.29%,0.97,9700,0.80,5.80%,9.90%,61.60,0.69% 0.83%,Yes,4.04,81.30%,10.00%,0.49,102.00,Yes,3.92,-,28.10%,1.16M,102.50,2.80,0.83%,3.15%,5.10%,"575,816",0.49%,0
HWM,Industrials,Howmet Aerospace Inc.,0.040111,37.06,S&P500,52.05,0.71,0.40%,419.00M,-0.19%,14.67B,20.09,1.84,-3.84%,415.12M,13.86%,306.00M,1.84,0.33,92.10%,1.97%,4.63%,5.09B,2.88,23.60%,0.24%,2.96,13.96%,8.12,4.56,3.00%,41.45,17.09%,1.31,28.21,28.35%,8.80%,27.41 - 38.07,16.43%,0.08,51.12,17.40%,7.00%,-2.65%,1.59,0.22%,1.00,-16.70%,27.80%,35.21%,0.98,19900,2.20,9.50%,12.60%,69.56,2.43% 2.65%,Yes,1.24,70.00%,6.00%,0.65,37.11,Yes,1.24,Aug 04 BMO,8.30%,2.77M,37.06,2.00,6.35%,9.05%,11.35%,"1,791,433",-0.13%,0
APA,Energy,APA Corp.,0.029654,32.0,S&P500,4.53,7.01,0.30%,346.00M,-14.58%,10.17B,3.31,9.60,-8.87%,337.08M,-8.00%,2.47B,0.16,2.34,86.60%,2.98%,-23.12%,8.78B,1.16,120.20%,0.26%,1.11,-8.08%,-0.05,-,18.80%,53.29,75.80%,0.73,43.45,28.70%,-268.80%,15.55 - 51.95,18.07%,0.50,2.80,22.10%,31.20%,-38.88%,3.94,1.57%,1.00,8.30%,68.60%,104.25%,2.21,2253,1.20,42.70%,49.10%,40.24,6.84% 5.39%,Yes,-,430.10%,28.10%,0.91,30.68,Yes,-,Aug 03 AMC,3.40%,9.03M,31.75,2.40,-6.49%,-18.70%,-9.58%,"8,239,131",3.49%,0
TFX,Health Care,Teleflex Incorporated,0.033245,250.57,S&P500,23.30,10.75,0.20%,46.90M,4.20%,13.02B,17.60,14.23,-2.82%,46.80M,-2.09%,509.90M,2.24,3.11,92.79%,3.14%,-9.80%,2.81B,4.64,44.00%,3.25%,3.37,-19.41%,82.15,3.05,7.40%,286.82,-33.68%,5.93,42.27,10.40%,13.50%,235.01 - 405.89,-23.72%,1.36,36.46,15.50%,9.60%,-38.27%,1.13,0.54%,1.40,8.50%,54.90%,6.62%,8.19,14000,2.30,-1.30%,22.60%,46.83,2.94% 2.67%,Yes,0.45,27.00%,18.20%,0.55,250.56,Yes,0.42,Jul 28 BMO,12.50%,435.57K,250.57,2.40,-0.60%,-3.77%,-19.07%,"237,654",0.00%,0
L,Financials,Loews Corporation,0.030384,55.12,S&P500,8.56,6.44,0.10%,247.97M,-5.37%,13.51B,-,-,-69.28%,203.32M,-5.99%,1.66B,0.61,-,61.80%,0.77%,-13.55%,14.52B,0.93,282.60%,-0.12%,1.60,-9.79%,66.84,0.82,2.00%,-,2.04%,3.26,16.93,14.03%,9.40%,51.35 - 68.20,-4.57%,0.25,5.79,25.70%,7.90%,-19.18%,0.82,0.45%,-,2.20%,-,7.34%,1.29,10340,-,-4.90%,18.40%,36.66,2.38% 1.89%,Yes,0.56,39.60%,11.40%,0.68,54.38,Yes,0.54,Aug 01 BMO,3.90%,977.76K,55.12,3.00,-3.25%,-7.26%,-8.35%,"666,084",1.36%,0
UAL,Industrials,United Airlines Holdings Inc.,0.03522,37.73,S&P500,-,-3.80,0.30%,326.70M,2.91%,12.25B,6.07,6.23,13.75%,325.77M,3.08%,-1221.00M,-,2.12,62.00%,5.78%,-22.66%,35.62B,0.34,75.90%,-0.57%,1.54,-12.21%,12.13,3.12,-1.80%,50.62,-19.94%,62.00,0.61,-,-27.10%,30.54 - 54.52,-13.61%,-,9.02,-23.70%,-1.10%,-30.63%,1.30,-,1.00,-7.60%,53.70%,23.84%,1.64,91200,1.00,121.40%,0.40%,49.37,3.44% 4.00%,Yes,8.19,174.30%,-3.40%,0.56,38.63,Yes,7.41,Jul 20 AMC,-,12.24M,37.82,2.40,0.23%,-3.49%,-12.93%,"6,862,299",-2.10%,1
SBNY,Financials,Signature Bank,0.033317,187.01,S&P500,12.47,15.02,0.70%,61.67M,0.92%,11.46B,7.66,24.46,0.00%,61.35M,-3.11%,880.60M,1.97,5.52,97.20%,3.59%,-23.86%,2.19B,5.23,51.20%,-0.68%,1.96,-39.74%,132.53,1.41,0.80%,267.06,-21.80%,432.66,0.43,6.32%,11.50%,165.36 - 374.76,-42.10%,2.24,15.99,15.40%,17.80%,-50.03%,1.76,1.20%,-,10.70%,-,13.26%,7.72,1854,-,30.70%,83.60%,50.24,2.86% 3.96%,Yes,0.07,63.70%,40.20%,0.36,186.35,Yes,0.07,Jul 19 BMO,14.80%,1.12M,187.28,1.60,0.85%,-2.12%,-31.77%,"401,712",0.50%,0
ABMD,Health Care,ABIOMED Inc.,0.037649,292.04,S&P500,98.35,2.96,1.30%,45.52M,-0.52%,12.95B,52.02,5.60,-6.45%,44.71M,9.05%,136.50M,4.97,1.06,94.60%,3.96%,7.07%,1.03B,12.55,-39.70%,0.25%,5.74,0.34%,33.02,8.83,8.70%,325.83,-16.44%,17.08,17.07,19.78%,9.70%,219.85 - 379.30,-18.84%,-,51.87,20.60%,5.80%,-23.15%,1.36,-,6.40,18.30%,81.80%,32.59%,9.84,2003,7.10,11.90%,13.60%,61.34,3.72% 3.33%,Yes,0.00,5.60%,13.20%,0.77,292.24,Yes,0.00,Aug 04 BMO,0.00%,308.48K,291.50,2.50,4.99%,11.21%,-2.82%,"237,252",-0.25%,0
EMN,Materials,Eastman Chemical Company,0.034487,94.03,S&P500,15.66,6.07,0.40%,129.00M,-0.83%,12.14B,9.19,10.35,-3.70%,128.27M,4.79%,818.00M,1.76,2.64,86.30%,1.62%,-9.97%,10.78B,1.13,78.50%,-0.06%,1.97,-21.45%,45.68,2.08,5.10%,116.57,-13.98%,3.82,24.93,8.90%,13.80%,84.95 - 129.48,-21.32%,3.04,24.83,1.70%,9.80%,-26.53%,1.46,3.20%,1.00,3.10%,22.70%,11.98%,2.57,14000,1.60,12.70%,11.40%,55.27,2.32% 2.44%,Yes,0.91,-9.70%,7.60%,0.99,93.80,Yes,0.74,Jul 28 AMC,45.60%,1.06M,95.13,2.30,3.31%,-0.84%,-12.49%,"1,049,925",1.42%,0
PTC,Information Technology,PTC Inc.,0.036342,120.3,S&P500,28.57,4.21,1.00%,117.01M,-2.50%,13.38B,23.06,5.22,-43.70%,104.94M,12.02%,499.20M,2.17,1.17,92.10%,1.62%,7.27%,1.91B,7.02,258.40%,0.75%,2.37,5.87%,17.81,6.75,11.40%,141.70,-11.25%,-,-,13.16%,25.60%,96.55 - 137.67,-0.70%,-,36.41,60.00%,13.40%,-12.62%,1.17,-,1.20,9.60%,79.50%,24.60%,3.41,6709,1.20,9.40%,18.50%,61.93,2.11% 2.97%,Yes,0.61,-17.60%,26.20%,0.80,120.85,Yes,0.61,Jul 27 AMC,0.00%,717.00K,120.30,1.90,7.53%,8.71%,6.48%,"574,786",-0.46%,0
RE,Financials,Everest Re Group Ltd.,0.028507,255.66,S&P500,7.39,34.59,1.40%,38.82M,-2.18%,10.45B,6.20,41.26,-0.81%,38.81M,-10.51%,1.36B,-,2.85,96.00%,1.36%,-10.02%,11.87B,0.88,189.40%,-0.24%,2.13,-10.37%,245.41,1.04,3.70%,334.17,-1.36%,43.49,5.88,-,13.60%,248.63 - 308.20,-6.67%,0.04,2.91,7.90%,11.00%,-17.05%,0.55,0.02%,-,15.30%,-,2.83%,6.53,1947,-,10.50%,13.60%,39.53,1.88% 2.10%,Yes,0.32,-11.30%,11.50%,0.65,251.81,Yes,0.32,Jul 27 AMC,17.80%,248.25K,255.66,-,-4.01%,-6.52%,-8.54%,"161,048",1.53%,0
LYV,Communication Services,Live Nation Entertainment Inc.,0.03753,96.26,S&P500,-,-2.05,2.60%,221.89M,2.95%,21.92B,62.35,1.55,-24.89%,153.16M,12.55%,-448.50M,-,0.51,72.40%,9.91%,1.71%,7.78B,2.82,62.00%,0.39%,7.74,-8.58%,-2.33,-,-3.20%,122.08,14.16%,25.93,3.73,-,74.20%,78.14 - 127.75,-19.16%,-,8.08,-67.70%,-6.40%,-24.26%,1.32,-,1.00,-5.60%,32.00%,23.83%,3.20,10200,1.00,520.40%,-0.70%,63.90,3.77% 3.14%,Yes,-,73.00%,-5.80%,1.08,97.50,Yes,-,Aug 04 AMC,-,1.96M,96.76,2.20,7.46%,8.63%,-7.32%,"2,112,517",-0.76%,0
HST,Real Estate,Host Hotels & Resorts Inc.,0.035668,17.97,S&P500,50.34,0.36,0.30%,714.30M,0.90%,12.69B,19.64,0.92,-1.38%,706.55M,11.55%,256.00M,1.77,0.25,-,3.71%,-9.01%,3.56B,3.56,98.40%,-0.00%,2.87,5.21%,9.13,1.97,2.10%,22.00,13.88%,0.61,29.57,28.40%,4.00%,14.67 - 21.63,3.34%,0.24,27.52,-15.10%,-1.60%,-16.92%,1.26,1.34%,-,-11.90%,-,22.49%,0.69,160,-,169.20%,0.40%,59.33,4.63% 3.33%,Yes,0.65,175.20%,7.20%,0.89,17.68,Yes,0.65,Aug 03 AMC,8.40%,9.13M,17.97,2.20,6.38%,2.64%,0.29%,"8,138,577",1.64%,0
NDSN,Industrials,Nordson Corporation,0.035711,231.55,S&P500,28.16,8.22,0.10%,57.78M,0.24%,12.79B,23.41,9.89,0.00%,51.27M,9.98%,482.70M,2.17,2.44,74.00%,1.43%,8.51%,2.49B,5.13,81.30%,0.36%,3.23,-0.17%,37.91,6.11,12.80%,265.29,2.68%,2.19,105.76,13.00%,22.40%,194.89 - 272.28,-9.29%,2.04,35.84,10.40%,16.50%,-14.96%,0.96,0.88%,0.90,5.50%,56.00%,18.81%,4.73,7200,1.50,7.80%,27.30%,70.78,1.61% 1.92%,Yes,0.37,-11.30%,19.40%,0.54,230.92,Yes,0.23,May 23 AMC,23.10%,227.26K,231.55,2.30,6.57%,9.31%,0.40%,"121,953",0.27%,0
CRL,Health Care,Charles River Laboratories International Inc.,0.032465,223.89,S&P500,27.22,8.21,0.90%,50.64M,-10.84%,10.75B,17.03,13.11,-14.93%,50.29M,-2.64%,422.50M,1.91,2.74,96.70%,2.08%,-10.00%,3.63B,2.96,5.60%,1.24%,2.06,-33.72%,51.54,4.33,6.10%,317.08,-45.51%,5.05,44.24,14.24%,17.10%,203.37 - 460.21,-40.71%,-,26.10,18.70%,10.20%,-51.46%,1.29,-,1.10,16.10%,37.60%,9.84%,9.32,18600,1.30,10.80%,17.60%,45.54,3.30% 3.64%,Yes,1.03,50.40%,11.60%,1.08,227.64,Yes,1.03,Aug 03 BMO,0.00%,508.94K,223.38,1.70,-3.01%,-1.46%,-25.22%,"550,306",-1.87%,0
IPG,Communication Services,Interpublic Group of Companies Inc.,0.033047,29.02,S&P500,11.72,2.48,0.30%,393.10M,-2.85%,11.21B,10.76,2.70,-7.73%,389.15M,4.05%,986.80M,3.08,0.59,-,3.25%,-12.46%,10.78B,1.04,167.80%,-0.10%,3.65,-20.60%,8.74,3.32,5.40%,33.86,-20.45%,5.13,5.65,3.80%,29.00%,26.36 - 39.98,-22.51%,1.16,23.23,10.00%,16.80%,-27.41%,1.04,4.00%,1.00,2.50%,16.70%,10.09%,0.76,55600,1.00,9.00%,12.90%,48.92,1.82% 2.37%,Yes,0.86,-12.30%,9.20%,1.10,29.57,Yes,0.85,Jul 21 BMO,44.70%,3.47M,29.02,2.40,-0.02%,-0.09%,-14.25%,"3,822,177",-1.86%,0
AAP,Consumer Discretionary,Advance Auto Parts Inc.,0.034047,193.42,S&P500,21.53,8.98,0.50%,61.26M,-0.10%,11.26B,12.59,15.36,0.00%,60.34M,5.13%,570.00M,1.92,3.79,-,7.00%,-3.93%,11.04B,1.02,33.70%,-0.65%,5.23,-16.81%,47.50,4.07,4.80%,222.06,-6.26%,2.38,81.20,11.20%,18.20%,164.00 - 244.55,-19.37%,6.00,101.28,9.00%,15.60%,-20.91%,1.22,3.10%,0.30,2.80%,44.80%,17.94%,4.99,41000,1.20,1.30%,7.10%,56.61,2.08% 2.43%,Yes,0.41,-19.50%,5.20%,0.45,191.56,Yes,0.41,May 23 AMC,49.70%,806.75K,193.42,2.20,2.36%,5.05%,-8.97%,"366,725",0.97%,0
BIO,Health Care,Bio-Rad Laboratories Inc. Class A,0.032875,539.65,S&P500,-,-66.32,0.10%,29.93M,-4.19%,15.38B,35.44,15.23,0.00%,21.46M,5.29%,-1942.40M,-,3.04,81.00%,1.58%,6.35%,2.87B,5.36,11.40%,2.06%,1.80,-13.36%,340.19,1.59,25.30%,700.00,-29.33%,72.75,7.42,17.80%,33.40%,462.61 - 832.70,-28.58%,-,28.71,176.00%,-5.10%,-35.19%,0.95,-,4.20,7.20%,57.10%,16.65%,16.07,7900,5.10,-3.70%,17.00%,56.03,2.47% 3.15%,Yes,0.12,-447.70%,-,0.45,538.84,Yes,0.12,Jul 28 AMC,0.00%,188.19K,539.65,1.50,3.15%,4.95%,-11.08%,"84,864",0.15%,0
